"N...Region";"Comuna";"Region";"Comuna.1";"Poblacion";"Casos.Nuevos";"Contactos.Nuevos";"X.";"SE"
3;"Huasco";"Atacama";"Huasco";11264;"1";"23";"23";94
16;"San Nicolas";"Nuble";"San Nicolas";12172;"3";"63";"21";94
16;"Coihueco";"Nuble";"Coihueco";28375;"1";"19";"19";94
4;"Monte Patria";"Coquimbo";"Monte Patria";32527;"2";"37";"18.5";94
8;"Penco";"Biobio";"Penco";49865;"2";"37";"18.5";94
9;"Freire";"La Araucania";"Freire";25446;"1";"17";"17";94
7;"San Rafael";"Maule";"San Rafael";9959;"1";"16";"16";94
10;"Maullin";"Los Lagos";"Maullin";14894;"1";"16";"16";94
5;"Catemu";"Valparaiso";"Catemu";15213;"3";"43";"14.3";94
14;"Panguipulli";"Los Rios";"Panguipulli";35991;"2";"27";"13.5";94
6;"Coinco";"Del Libertador General Bernardo OHiggins";"Coinco";7831;"1";"13";"13";94
6;"Chimbarongo";"Del Libertador General Bernardo OHiggins";"Chimbarongo";37696;"3";"37";"12.3";94
6;"Nancagua";"Del Libertador General Bernardo OHiggins";"Nancagua";19141;"2";"24";"12";94
9;"Villarrica";"La Araucania";"Villarrica";59103;"10";"115";"11.5";94
8;"Alto Biobio";"Biobio";"Alto Biobio";6775;"6";"65";"10.8";94
16;"Chillan Viejo";"Nuble";"Chillan Viejo";33827;"6";"64";"10.7";94
9;"Pucon";"La Araucania";"Pucon";29782;"3";"31";"10.3";94
8;"Lota";"Biobio";"Lota";45750;"22";"215";"9.8";94
16;"Yungay";"Nuble";"Yungay";18596;"2";"19";"9.5";94
9;"Pitrufquen";"La Araucania";"Pitrufquen";26096;"4";"38";"9.5";94
8;"Hualqui";"Biobio";"Hualqui";26201;"18";"169";"9.4";94
5;"Santa Maria";"Valparaiso";"Santa Maria";16367;"3";"28";"9.3";94
6;"Malloa";"Del Libertador General Bernardo OHiggins";"Malloa";14163;"1";"9";"9";94
8;"Mulchen";"Biobio";"Mulchen";31041;"2";"18";"9";94
9;"Renaico";"La Araucania";"Renaico";10833;"1";"9";"9";94
10;"Quemchi";"Los Lagos";"Quemchi";8783;"1";"9";"9";94
11;"Cisnes";"Aisen";"Cisnes";5828;"4";"35";"8.8";94
10;"Llanquihue";"Los Lagos";"Llanquihue";18621;"2";"17";"8.5";94
8;"Coronel";"Biobio";"Coronel";125829;"14";"117";"8.4";94
8;"Chiguayante";"Biobio";"Chiguayante";91180;"12";"100";"8.3";94
2;"Tocopilla";"Antofagasta";"Tocopilla";28079;"6";"49";"8.2";94
6;"Olivar";"Del Libertador General Bernardo OHiggins";"Olivar";14624;"6";"49";"8.2";94
7;"Talca";"Maule";"Talca";236724;"92";"738";"8";94
