fch_confirmado;txt_regionregistro;txt_nombreregion;id_region;txt_comuna;id_comuna;cant_poblacionregion;cant_poblacioncomuna;cant_casosconfirmados;cant_casosactivos;cant_defunciones;cant_fallecidos;porc_rcori;porc_dercori;cant_casosrecuperados;txt_cuarentenaactiva;txt_alcancecuarentena;num_cluster;num_mediacasosactivos;num_mediacasosconfirmados;num_mediarinstantaneocori;num_mediatasapositividad
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Iquique;1101;382773;223463;5;0;5;0;;;5;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Alto Hospicio;1107;382773;129999;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Pozo Almonte;1401;382773;17395;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Camina;1402;382773;1375;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Colchane;1403;382773;1583;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Huara;1404;382773;3000;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Tarapacá;02. Región de Tarapacá;1;Pica;1405;382773;5958;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Antofagasta;03. Región de Antofagasta;2;Antofagasta;2101;691854;425725;29;0;8;0;;;29;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Antofagasta;03. Región de Antofagasta;2;Mejillones;2102;691854;14776;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Antofagasta;03. Región de Antofagasta;2;Sierra Gorda;2103;691854;1746;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Antofagasta;03. Región de Antofagasta;2;Taltal;2104;691854;13657;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
